,word1,word2,cosine_similarity
0,old,new,-0.07635
1,smart,intelligent,-0.05765
2,hard,difficult,0.01435
3,happy,cheerful,-0.17517
4,hard,easy,-0.14758
5,fast,rapid,-0.02698
6,happy,glad,-0.09191
7,short,long,-0.06983
8,stupid,dumb,-0.29697
9,weird,strange,0.16134
10,wide,narrow,0.1367
11,bad,awful,0.0223
12,easy,difficult,0.02013
13,bad,terrible,-0.31528
14,hard,simple,-0.23981
15,smart,dumb,-0.16036
16,insane,crazy,0.02353
17,happy,mad,0.05336
18,large,huge,0.2087
19,hard,tough,0.12602
20,new,fresh,0.05269
21,sharp,dull,0.01925
22,quick,rapid,0.06222
23,dumb,foolish,0.13051
24,wonderful,terrific,-0.25957
25,strange,odd,0.13279
26,happy,angry,-0.05259
27,narrow,broad,0.08305
28,simple,easy,0.07464
29,old,fresh,0.21855
30,apparent,obvious,-0.28322
31,inexpensive,cheap,-0.05623
32,nice,generous,0.085
33,weird,normal,0.32673
34,weird,odd,0.21383
35,bad,immoral,0.01396
36,sad,funny,-0.33894
37,wonderful,great,-0.1366
38,guilty,ashamed,-0.06099
39,beautiful,wonderful,0.0157
40,confident,sure,-0.03698
41,dumb,dense,0.02605
42,large,big,-0.07353
43,nice,cruel,-0.01017
44,impatient,anxious,-0.07017
45,big,broad,-0.08864
46,strong,proud,0.01827
47,unnecessary,necessary,0.13389
48,restless,young,-0.02664
49,dumb,intelligent,0.05996
50,bad,great,0.05126
51,difficult,simple,0.10889
52,necessary,important,0.08371
53,bad,terrific,0.00824
54,mad,glad,0.00495
55,honest,guilty,0.07279
56,easy,tough,0.04915
57,easy,flexible,-0.1843
58,certain,sure,-0.03513
59,essential,necessary,-0.03529
60,different,normal,0.05302
61,sly,clever,-0.53038
62,crucial,important,-0.2822
63,harsh,cruel,-0.28027
64,childish,foolish,-0.11464
65,scarce,rare,0.2404
66,friendly,generous,0.02405
67,fragile,frigid,0.14822
68,long,narrow,0.07824
69,big,heavy,-0.03906
70,rough,frigid,0.0607
71,bizarre,strange,-0.19137
72,illegal,immoral,0.23519
73,bad,guilty,0.15524
74,modern,ancient,-0.12534
75,new,ancient,0.1405
76,dull,funny,-0.10898
77,happy,young,-0.33518
78,easy,big,0.19531
79,great,awful,-0.22244
80,tiny,huge,0.03806
81,polite,proper,-0.1562
82,modest,ashamed,-0.08077
83,exotic,rare,-0.00171
84,dumb,clever,-0.11816
85,delightful,wonderful,-0.36221
86,noticeable,obvious,0.03755
87,afraid,anxious,0.0906
88,formal,proper,0.30053
89,dreary,dull,0.06031
90,delightful,cheerful,-0.03342
91,unhappy,mad,0.21657
92,sad,terrible,-0.06154
93,sick,crazy,0.13556
94,violent,angry,0.15939
95,laden,heavy,-0.1193
96,dirty,cheap,-0.03819
97,elastic,flexible,0.09678
98,hard,dense,0.19785
99,recent,new,0.01555
100,bold,proud,-0.20901
101,sly,strange,0.04562
102,strange,sly,0.04562
103,dumb,rare,-0.19126
104,sly,tough,-0.19053
105,terrific,mad,0.02833
106,modest,flexible,0.04987
107,fresh,wide,0.01424
108,huge,dumb,0.18251
109,large,flexible,0.39251
110,dirty,narrow,0.06373
111,wife,husband,-0.14013
112,book,text,-0.17397
113,groom,bride,0.11023
114,night,day,-0.07364
115,south,north,0.24761
116,plane,airport,-0.00314
117,uncle,aunt,-0.05843
118,horse,mare,0.12723
119,bottom,top,0.19602
120,friend,buddy,0.05375
121,student,pupil,-0.20162
122,world,globe,-0.04849
123,leg,arm,0.23647
124,plane,jet,-0.04185
125,woman,man,-0.05661
126,horse,colt,-0.18998
127,actress,actor,0.0304
128,teacher,instructor,0.05903
129,movie,film,0.01297
130,bird,hawk,-0.10962
131,word,dictionary,-0.01822
132,money,salary,-0.12556
133,dog,cat,0.10958
134,area,region,-0.07537
135,navy,army,-0.11889
136,book,literature,-0.07442
137,clothes,closet,-0.10319
138,sunset,sunrise,-0.06126
139,child,adult,0.01296
140,cow,cattle,-0.05565
141,book,story,-0.13797
142,winter,summer,-0.11608
143,taxi,cab,0.0809
144,tree,maple,-0.09659
145,bed,bedroom,0.15307
146,roof,ceiling,0.04758
147,disease,infection,-0.08245
148,arm,shoulder,-0.40352
149,sheep,lamb,0.07744
150,lady,gentleman,0.16886
151,boat,anchor,-0.1469
152,priest,monk,-0.0803
153,toe,finger,0.02974
154,river,stream,0.11336
155,anger,fury,0.08448
156,date,calendar,0.04313
157,sea,ocean,0.21476
158,second,minute,-0.00966
159,hand,thumb,0.06446
160,wood,log,-0.19826
161,mud,dirt,-0.1632
162,hallway,corridor,-0.08056
163,way,manner,-0.02697
164,mouse,cat,0.06092
165,cop,sheriff,-0.04084
166,death,burial,0.11778
167,music,melody,-0.20712
168,beer,alcohol,-0.28629
169,mouth,lip,0.08
170,storm,hurricane,0.19566
171,tax,income,-0.03402
172,flower,violet,0.51747
173,paper,cardboard,0.1024
174,floor,ceiling,0.1551
175,beach,seashore,-0.10082
176,rod,curtain,0.01629
177,hound,fox,0.04084
178,street,alley,0.09639
179,boat,deck,-0.17766
180,car,horn,0.11391
181,friend,guest,0.11432
182,employer,employee,-0.35683
183,hand,wrist,-0.07588
184,ball,cannon,-0.05418
185,alcohol,brandy,0.12197
186,victory,triumph,-0.20028
187,telephone,booth,0.06986
188,door,doorway,-0.04388
189,motel,inn,-0.07125
190,clothes,cloth,0.12409
191,steak,meat,0.07751
192,nail,thumb,-0.23659
193,band,orchestra,-0.29476
194,book,bible,-0.13075
195,business,industry,-0.21209
196,winter,season,0.1194
197,decade,century,0.04232
198,alcohol,gin,-0.08844
199,hat,coat,0.01643
200,window,door,0.16978
201,arm,wrist,-0.20956
202,house,apartment,-0.02385
203,glass,crystal,-0.06995
204,wine,brandy,0.10527
205,creator,maker,0.20138
206,dinner,breakfast,-0.04672
207,arm,muscle,0.13582
208,bubble,suds,-0.00071
209,bread,flour,-0.07643
210,death,tragedy,-0.10723
211,absence,presence,-0.07744
212,gun,cannon,-0.04642
213,grass,blade,0.08943
214,ball,basket,-0.15935
215,hose,garden,-0.03564
216,boy,kid,0.13007
217,church,choir,0.0303
218,clothes,drawer,0.07924
219,tower,bell,0.26753
220,father,parent,-0.01675
221,school,grade,-0.06279
222,parent,adult,-0.01586
223,bar,jail,-0.04794
224,car,highway,0.08837
225,dictionary,definition,-0.33652
226,door,cellar,0.08553
227,army,legion,0.14794
228,metal,aluminum,-0.07571
229,chair,bench,0.00473
230,cloud,fog,0.12011
231,boy,son,0.08258
232,water,ice,0.00174
233,bed,blanket,0.01585
234,attorney,lawyer,-0.21245
235,area,zone,0.02222
236,business,company,-0.03507
237,clothes,fabric,0.02254
238,sweater,jacket,-0.09919
239,money,capital,-0.14637
240,hand,foot,0.02204
241,alcohol,cocktail,0.20016
242,yard,inch,0.01136
243,molecule,atom,0.09521
244,lens,camera,0.06105
245,meal,dinner,-0.01282
246,eye,tear,0.29253
247,god,devil,-0.09723
248,loop,belt,0.05298
249,rat,mouse,-0.14442
250,motor,engine,0.15386
251,car,cab,-0.08013
252,cat,lion,0.06029
253,size,magnitude,0.15569
254,reality,fantasy,0.06613
255,door,gate,-0.01472
256,cat,pet,0.06859
257,tin,aluminum,0.1023
258,bone,jaw,0.04222
259,cereal,wheat,0.05115
260,house,key,0.13833
261,blood,flesh,-0.21922
262,door,corridor,-0.03058
263,god,spirit,0.02562
264,capability,competence,-0.0593
265,abundance,plenty,0.10368
266,sofa,chair,-0.12238
267,wall,brick,0.04487
268,horn,drum,-0.20221
269,organ,liver,0.01602
270,strength,might,0.18412
271,phrase,word,-0.16196
272,band,parade,0.19174
273,stomach,waist,0.1946
274,cloud,storm,-0.08886
275,joy,pride,0.10062
276,noise,rattle,-0.15072
277,rain,mist,-0.0914
278,beer,beverage,0.24726
279,man,uncle,0.06951
280,apple,juice,0.06098
281,intelligence,logic,0.10484
282,communication,language,-0.0629
283,mink,fur,0.01496
284,mob,crowd,0.02515
285,shore,coast,0.14804
286,wire,cord,0.05969
287,bird,turkey,0.15424
288,bed,crib,-0.04119
289,competence,ability,0.23813
290,cloud,haze,0.1385
291,supper,meal,0.01732
292,bar,cage,0.09651
293,water,salt,0.19045
294,sense,intuition,0.38041
295,situation,condition,-0.11958
296,crime,theft,0.01023
297,style,fashion,0.01635
298,boundary,border,0.21299
299,arm,body,0.0392
300,boat,car,0.16195
301,sandwich,lunch,0.09517
302,bride,princess,0.0361
303,heroine,hero,0.09737
304,car,gauge,0.00039
305,insect,bee,0.10524
306,crib,cradle,-0.02202
307,animal,person,-0.11636
308,marijuana,herb,0.24788
309,bed,hospital,0.10611
310,cheek,tongue,0.07199
311,disc,computer,-0.20543
312,curve,angle,-0.14141
313,grass,moss,0.23954
314,school,law,-0.08753
315,foot,head,0.17411
316,mother,guardian,0.0193
317,orthodontist,dentist,0.12576
318,alcohol,whiskey,-0.07285
319,mouth,tooth,0.20262
320,breakfast,bacon,-0.21329
321,bathroom,bedroom,0.10998
322,plate,bowl,-0.40892
323,meat,bacon,0.1572
324,air,helium,-0.07222
325,worker,employer,-0.18269
326,body,chest,-0.00246
327,son,father,0.17842
328,heart,surgery,-0.2007
329,woman,secretary,0.00312
330,man,father,0.21544
331,beach,island,0.09636
332,story,topic,0.06836
333,game,fun,-0.16937
334,weekend,week,0.04258
335,couple,pair,0.12442
336,woman,wife,-0.14135
337,sheep,cattle,0.06463
338,purse,bag,-0.00586
339,ceiling,cathedral,0.30943
340,bean,coffee,-0.19495
341,wood,paper,0.122
342,top,side,0.12279
343,crime,fraud,-0.12971
344,pain,harm,-0.34051
345,lover,companion,-0.05983
346,evening,dusk,-0.00391
347,father,daughter,-0.11589
348,wine,liquor,-0.17094
349,cow,goat,0.37655
350,belief,opinion,-0.09931
351,reality,illusion,0.26357
352,pact,agreement,0.14179
353,wealth,poverty,0.10492
354,accident,emergency,0.22125
355,battle,conquest,-0.04091
356,friend,teacher,0.03881
357,illness,infection,-0.10913
358,game,trick,-0.28324
359,brother,son,-0.11409
360,aunt,nephew,0.15022
361,worker,mechanic,0.00577
362,doctor,orthodontist,-0.32919
363,oak,maple,-0.0419
364,bee,queen,-0.11063
365,car,bicycle,0.01755
366,goal,quest,-0.07374
367,august,month,0.11288
368,army,squad,0.28259
369,cloud,weather,0.22556
370,physician,doctor,-0.07127
371,canyon,valley,0.02927
372,river,valley,-0.12217
373,sun,sky,-0.14229
374,target,arrow,0.11109
375,chocolate,pie,-0.16683
376,circumstance,situation,0.09204
377,opinion,choice,-0.06394
378,rhythm,melody,-0.15894
379,gut,nerve,0.24132
380,day,dawn,0.09629
381,cattle,beef,0.0594
382,doctor,professor,0.22656
383,arm,vein,-0.23903
384,room,bath,-0.0206
385,corporation,business,0.05759
386,fun,football,-0.04404
387,hill,cliff,0.24044
388,bone,ankle,0.0682
389,apple,candy,-0.10729
390,helper,maid,0.05717
391,leader,manager,0.15935
392,lemon,tea,0.01923
393,bee,ant,-0.27827
394,basketball,baseball,-0.0103
395,rice,bean,-0.16922
396,bed,furniture,0.32383
397,emotion,passion,-0.03136
398,anarchy,chaos,0.12011
399,crime,violation,0.34371
400,machine,engine,-0.17546
401,beach,sea,-0.18259
402,alley,bowl,0.13945
403,jar,bottle,0.2532
404,strength,capability,-0.00228
405,seed,mustard,-0.01413
406,guitar,drum,0.18917
407,opinion,idea,0.15616
408,north,west,-0.13743
409,diet,salad,-0.16544
410,mother,wife,-0.10038
411,dad,mother,0.01087
412,captain,sailor,-0.04074
413,meter,yard,0.08234
414,beer,champagne,0.05317
415,motor,boat,-0.04729
416,card,bridge,-0.21426
417,science,psychology,-0.09777
418,sinner,saint,0.15077
419,destruction,construction,0.03462
420,crowd,bunch,0.02102
421,beach,reef,-0.08019
422,man,child,-0.08622
423,bread,cheese,0.02621
424,champion,winner,0.02439
425,celebration,ceremony,-0.05671
426,menu,order,0.21637
427,king,princess,0.13606
428,wealth,prestige,0.15428
429,endurance,strength,0.07235
430,danger,threat,0.00926
431,god,priest,-0.09333
432,men,fraternity,-0.09409
433,buddy,companion,0.0883
434,teacher,helper,0.20978
435,body,stomach,0.05445
436,tongue,throat,-0.00973
437,house,carpet,0.06286
438,intelligence,skill,0.00403
439,journey,conquest,0.08467
440,god,prey,0.41503
441,brother,soul,-0.09716
442,adversary,opponent,-0.12065
443,death,catastrophe,-0.03137
444,monster,demon,-0.07657
445,day,morning,0.08189
446,man,victor,-0.2141
447,friend,guy,-0.3044
448,song,story,0.0333
449,ray,sunshine,0.2582
450,guy,stud,0.16846
451,chicken,rice,0.03829
452,box,elevator,-0.00913
453,butter,potato,0.10735
454,apartment,furniture,0.02907
455,lake,swamp,-0.19237
456,salad,vinegar,-0.01396
457,flower,bulb,-0.01828
458,cloud,mist,-0.10484
459,driver,pilot,0.04314
460,sugar,honey,-0.0238
461,body,shoulder,0.00663
462,idea,image,-0.21833
463,father,brother,0.06039
464,moon,planet,-0.1174
465,ball,costume,-0.46195
466,rail,fence,0.15774
467,room,bed,-0.32036
468,flower,bush,0.37643
469,bone,knee,-0.22998
470,arm,knee,-0.08182
471,bottom,side,0.174
472,vessel,vein,-0.12157
473,cat,rabbit,0.15785
474,meat,sandwich,0.21126
475,belief,concept,0.01353
476,intelligence,insight,0.0488
477,attention,interest,0.07082
478,attitude,confidence,0.11607
479,right,justice,0.18849
480,argument,agreement,-0.23706
481,depth,magnitude,0.08328
482,medium,news,-0.03035
483,winner,candidate,0.16733
484,birthday,date,0.18152
485,fee,payment,0.10787
486,bible,hymn,0.12926
487,exit,doorway,-0.14339
488,man,sentry,0.08766
489,aisle,hall,-0.09194
490,whiskey,gin,-0.30274
491,blood,marrow,-0.21496
492,oil,mink,0.02808
493,floor,deck,0.37902
494,roof,floor,0.02377
495,door,floor,0.0189
496,shoulder,head,-0.40049
497,wagon,carriage,-0.34919
498,car,carriage,-0.37447
499,elbow,ankle,-0.09864
500,wealth,fame,-0.0843
501,sorrow,shame,0.02446
502,administration,management,0.04122
503,communication,conversation,0.08215
504,pollution,atmosphere,0.03207
505,anatomy,biology,-0.15625
506,college,profession,-0.05338
507,book,topic,0.09095
508,formula,equation,-0.05075
509,book,information,-0.02406
510,boy,partner,-0.18997
511,sky,universe,-0.02443
512,population,people,0.039
513,college,class,-0.09949
514,chief,mayor,-0.12173
515,rabbi,minister,0.00565
516,meter,inch,0.08287
517,polyester,cotton,-0.17823
518,lawyer,banker,-0.05171
519,violin,instrument,-0.13312
520,camp,cabin,-0.14525
521,pot,appliance,0.10535
522,linen,fabric,-0.00768
523,whiskey,champagne,0.0932
524,girl,child,0.08293
525,cottage,cabin,0.10243
526,bird,hen,0.34442
527,racket,noise,-0.19787
528,sunset,evening,-0.02361
529,drizzle,rain,0.01887
530,adult,baby,0.10999
531,charcoal,coal,-0.10134
532,body,spine,0.06161
533,head,nail,-0.1717
534,log,timber,0.0948
535,spoon,cup,-0.27173
536,body,nerve,-0.11292
537,man,husband,-0.09211
538,bone,neck,0.03909
539,frustration,anger,0.01135
540,river,sea,-0.1237
541,task,job,0.0579
542,club,society,0.00098
543,reflection,image,0.18203
544,prince,king,0.17379
545,snow,weather,0.05822
546,people,party,-0.07191
547,boy,brother,0.02381
548,root,grass,0.06937
549,brow,eye,0.18696
550,money,pearl,0.34243
551,money,diamond,0.04155
552,vehicle,bus,-0.13953
553,cab,bus,0.22541
554,house,barn,0.00392
555,finger,palm,0.01555
556,car,bridge,0.01999
557,effort,difficulty,-0.19781
558,fact,insight,0.11341
559,job,management,-0.092
560,cancer,sickness,-0.19682
561,word,newspaper,0.20076
562,composer,writer,0.03835
563,actor,singer,0.21026
564,shelter,hut,-0.21042
565,bathroom,kitchen,0.40471
566,cabin,hut,0.08296
567,door,kitchen,0.10752
568,value,belief,-0.18996
569,wisdom,intelligence,0.0547
570,ignorance,intelligence,0.03092
571,happiness,luck,0.10463
572,idea,scheme,-0.00152
573,mood,emotion,-0.01301
574,happiness,peace,-0.14806
575,despair,misery,-0.04969
576,logic,arithmetic,-0.17009
577,denial,confession,-0.16161
578,argument,criticism,-0.01087
579,aggression,hostility,0.06248
580,hysteria,confusion,0.32102
581,chemistry,theory,0.05219
582,trial,verdict,0.1241
583,comfort,safety,0.33418
584,confidence,self,-0.06379
585,vision,perception,0.25741
586,era,decade,-0.20281
587,biography,fiction,-0.1693
588,discussion,argument,-0.02275
589,code,symbol,-0.09449
590,danger,disease,-0.02109
591,accident,catastrophe,-0.00968
592,journey,trip,0.08648
593,activity,movement,-0.15307
594,gossip,news,0.09487
595,father,god,-0.47771
596,action,course,0.11388
597,fever,illness,0.26489
598,aviation,flight,0.03568
599,game,action,-0.31872
600,molecule,air,-0.18562
601,home,state,-0.05413
602,word,literature,-0.083
603,adult,guardian,0.01263
604,newspaper,information,-0.10435
605,communication,television,-0.01166
606,cousin,uncle,-0.06585
607,author,reader,0.18372
608,guy,partner,-0.31979
609,area,corner,0.09947
610,ballad,song,-0.10131
611,wall,decoration,-0.15719
612,word,page,-0.00199
613,nurse,scientist,0.05374
614,politician,president,0.35047
615,president,mayor,-0.10427
616,book,essay,0.08956
617,man,warrior,-0.05124
618,article,journal,0.07109
619,breakfast,supper,-0.21894
620,crowd,parade,0.02399
621,aisle,hallway,-0.02988
622,teacher,rabbi,-0.04445
623,hip,lip,0.07922
624,book,article,0.19504
625,room,cell,-0.03376
626,box,booth,-0.00868
627,daughter,kid,-0.07553
628,limb,leg,0.32344
629,liver,lung,-0.09985
630,classroom,hallway,0.18898
631,mountain,ledge,-0.22287
632,car,elevator,-0.06001
633,bed,couch,-0.05182
634,clothes,button,0.25356
635,clothes,coat,0.00893
636,kidney,organ,-0.18381
637,apple,sauce,0.01493
638,chicken,steak,-0.00822
639,car,hose,0.01075
640,tobacco,cigarette,0.02685
641,student,professor,-0.06215
642,baby,daughter,0.05549
643,pipe,cigar,-0.02306
644,milk,juice,-0.01349
645,box,cigar,-0.17858
646,apartment,hotel,0.09687
647,cup,cone,-0.25984
648,horse,ox,0.06661
649,throat,nose,-0.12564
650,bone,teeth,0.02186
651,bone,elbow,-0.11061
652,bacon,bean,-0.04123
653,cup,jar,0.282
654,proof,fact,-0.04469
655,appointment,engagement,-0.11638
656,birthday,year,0.18048
657,word,clue,0.17096
658,author,creator,-0.07141
659,atom,carbon,-0.25697
660,archbishop,bishop,-0.07065
661,letter,paragraph,0.05636
662,page,paragraph,0.16492
663,steeple,chapel,0.18386
664,muscle,bone,0.00743
665,muscle,tongue,-0.08152
666,boy,soldier,0.07052
667,belly,abdomen,0.11311
668,guy,girl,-0.22358
669,bed,chair,0.15875
670,clothes,jacket,-0.30964
671,gun,knife,0.17518
672,tin,metal,0.05565
673,bottle,container,-0.12025
674,hen,turkey,0.03424
675,meat,bread,0.07327
676,arm,bone,-0.36857
677,neck,spine,0.09111
678,apple,lemon,0.25173
679,agony,grief,0.00782
680,assignment,task,0.09193
681,night,dawn,0.05546
682,dinner,soup,0.02442
683,calf,bull,0.17996
684,snow,storm,0.19873
685,nail,hand,-0.00938
686,dog,horse,0.09046
687,arm,neck,-0.09263
688,ball,glove,0.04353
689,flu,fever,-0.08668
690,fee,salary,-0.11853
691,nerve,brain,-0.0773
692,beast,animal,0.03759
693,dinner,chicken,-0.04855
694,girl,maid,0.24114
695,child,boy,0.0849
696,alcohol,wine,-0.06886
697,nose,mouth,0.10693
698,street,car,0.16864
699,bell,door,-0.2817
700,box,hat,-0.07181
701,belief,impression,-0.22969
702,bias,opinion,0.06518
703,attention,awareness,0.09129
704,anger,mood,-0.31175
705,elegance,style,0.0057
706,beauty,age,0.03607
707,book,theme,0.05725
708,friend,mother,-0.1503
709,vitamin,iron,0.16076
710,car,factory,-0.08654
711,pact,condition,-0.0243
712,chapter,choice,0.2356
713,arithmetic,rhythm,-0.07474
714,winner,presence,0.05185
715,belief,flower,-0.03035
716,winner,goal,0.1272
717,trick,size,0.06832
718,choice,vein,-0.12452
719,hymn,conquest,0.06874
720,endurance,band,-0.02832
721,jail,choice,-0.04304
722,condition,boy,-0.03199
723,flower,endurance,0.00332
724,hole,agreement,0.02979
725,doctor,temper,-0.00147
726,fraternity,door,-0.06063
727,task,woman,-0.01781
728,fraternity,baseball,-0.0235
729,cent,size,-0.13844
730,presence,door,0.06253
731,mouse,management,-0.0792
732,task,highway,-0.01771
733,liquor,century,0.02574
734,task,straw,0.16236
735,island,task,-0.08351
736,night,chapter,-0.03647
737,pollution,president,-0.03045
738,gun,trick,-0.09023
739,bath,trick,0.15219
740,diet,apple,-0.1103
741,cent,wife,-0.13674
742,chapter,tail,0.12182
743,course,stomach,-0.11749
744,hymn,straw,0.02248
745,dentist,colonel,-0.08179
746,wife,straw,0.16148
747,hole,wife,0.09202
748,pupil,president,-0.04617
749,bath,wife,0.1009
750,people,cent,-0.21049
751,formula,log,0.156
752,woman,fur,-0.22975
753,apple,sunshine,-0.02019
754,gun,dawn,0.00548
755,meal,waist,-0.13499
756,camera,president,0.04744
757,liquor,band,0.18818
758,stomach,vein,-0.05936
759,gun,fur,-0.12186
760,couch,baseball,0.0031
761,worker,camera,-0.19532
762,deck,mouse,0.04387
763,rice,boy,-0.09659
764,people,gun,-0.05729
765,cliff,tail,-0.1224
766,ankle,window,0.13576
767,princess,island,0.02472
768,container,mouse,0.31534
769,wagon,container,0.28602
770,people,balloon,0.27357
771,dollar,people,-0.18505
772,bath,balloon,-0.08202
773,stomach,bedroom,0.05834
774,bicycle,bedroom,-0.34333
775,log,bath,0.1058
776,bowl,tail,0.18165
777,go,come,0.18049
778,take,steal,0.04691
779,listen,hear,0.11189
780,think,rationalize,-0.06174
781,occur,happen,-0.02343
782,vanish,disappear,-0.0203
783,multiply,divide,0.18674
784,plead,beg,0.03605
785,begin,originate,-0.04629
786,protect,defend,-0.13084
787,kill,destroy,0.12189
788,create,make,0.15281
789,accept,reject,-0.17641
790,ignore,avoid,-0.16997
791,carry,bring,-0.05202
792,leave,enter,-0.03944
793,choose,elect,-0.17564
794,lose,fail,0.01098
795,encourage,discourage,-0.29334
796,achieve,accomplish,0.02709
797,make,construct,0.19487
798,listen,obey,0.16432
799,inform,notify,0.012
800,receive,give,-0.02636
801,borrow,beg,-0.00939
802,take,obtain,0.06691
803,advise,recommend,0.2908
804,imitate,portray,-0.03004
805,win,succeed,-0.15635
806,think,decide,-0.06282
807,greet,meet,-0.06717
808,agree,argue,0.12651
809,enjoy,entertain,-0.16474
810,destroy,make,-0.17127
811,save,protect,0.39271
812,give,lend,0.04856
813,understand,know,0.02181
814,take,receive,0.41367
815,accept,acknowledge,0.14706
816,decide,choose,0.24122
817,accept,believe,0.1024
818,keep,possess,0.04536
819,roam,wander,0.10402
820,succeed,fail,-0.22072
821,spend,save,0.24422
822,leave,go,-0.15793
823,come,attend,-0.04036
824,know,believe,0.10793
825,gather,meet,0.01952
826,make,earn,-0.01201
827,forget,ignore,0.11255
828,multiply,add,-0.15577
829,shrink,grow,0.12581
830,arrive,leave,0.04991
831,succeed,try,0.07974
832,accept,deny,-0.04951
833,arrive,come,0.10305
834,agree,differ,-0.15948
835,send,receive,0.0026
836,win,dominate,-0.04332
837,add,divide,-0.13454
838,kill,choke,-0.18225
839,acquire,get,0.14166
840,participate,join,0.08285
841,leave,remain,0.25084
842,go,enter,0.03999
843,take,carry,-0.29812
844,forget,learn,0.10025
845,appoint,elect,0.011
846,engage,marry,-0.20617
847,ask,pray,-0.10498
848,go,send,-0.05877
849,take,deliver,-0.02161
850,speak,hear,0.01179
851,analyze,evaluate,-0.16006
852,argue,rationalize,-0.11437
853,lose,keep,-0.06864
854,compare,analyze,-0.12723
855,disorganize,organize,0.01699
856,go,allow,-0.19777
857,take,possess,0.31349
858,learn,listen,-0.20593
859,destroy,construct,-0.08673
860,create,build,-0.0399
861,steal,buy,0.01114
862,kill,hang,0.13504
863,forget,know,-0.05708
864,create,imagine,0.2291
865,do,happen,0.35204
866,win,accomplish,0.0776
867,give,deny,-0.00691
868,deserve,earn,-0.03906
869,get,put,0.14791
870,locate,find,-0.1611
871,appear,attend,0.04987
872,know,comprehend,-0.04315
873,pretend,imagine,-0.08303
874,satisfy,please,-0.12959
875,cherish,keep,0.00079
876,argue,differ,0.0403
877,overcome,dominate,0.11419
878,behave,obey,0.10348
879,cooperate,participate,-0.07577
880,achieve,try,0.1641
881,fail,discourage,-0.09045
882,begin,quit,-0.08512
883,say,participate,-0.14719
884,come,bring,-0.07971
885,declare,announce,-0.02704
886,read,comprehend,-0.01968
887,take,leave,-0.06449
888,proclaim,announce,-0.00292
889,acquire,obtain,-0.44982
890,conclude,decide,0.11896
891,please,plead,-0.04725
892,argue,prove,-0.18175
893,ask,plead,-0.10413
894,find,disappear,0.09556
895,inspect,examine,0.10627
896,verify,justify,-0.12844
897,assume,predict,-0.09359
898,learn,evaluate,0.08635
899,argue,justify,0.32627
900,make,become,-0.0733
901,discover,originate,-0.1224
902,achieve,succeed,0.2122
903,give,put,-0.15969
904,understand,listen,0.01501
905,expand,grow,0.04154
906,borrow,sell,-0.26118
907,keep,protect,0.07007
908,explain,prove,0.13894
909,assume,pretend,-0.22415
910,agree,please,0.0663
911,forgive,forget,0.27286
912,clarify,explain,0.1385
913,understand,forgive,-0.03171
914,remind,forget,-0.07542
915,get,remain,-0.11359
916,realize,discover,-0.07636
917,require,inquire,0.05054
918,ignore,ask,0.18704
919,think,inquire,-0.0644
920,reject,avoid,-0.01659
921,argue,persuade,-0.21942
922,pursue,persuade,-0.04946
923,accept,forgive,0.07372
924,do,quit,0.03677
925,investigate,examine,0.05758
926,discuss,explain,-0.11854
927,owe,lend,-0.13046
928,explore,discover,-0.20178
929,complain,argue,-0.02645
930,withdraw,reject,0.19923
931,keep,borrow,-0.10584
932,beg,ask,0.10022
933,arrange,organize,0.04017
934,reduce,shrink,0.02943
935,speak,acknowledge,0.02857
936,give,borrow,-0.05134
937,kill,defend,0.05208
938,disappear,shrink,0.00118
939,deliver,carry,0.11338
940,breathe,choke,0.10505
941,acknowledge,notify,0.08356
942,become,seem,-0.07984
943,pretend,seem,-0.08303
944,accomplish,become,-0.1198
945,contemplate,think,-0.06939
946,determine,predict,0.10567
947,please,entertain,-0.02148
948,remain,retain,-0.19284
949,pretend,portray,0.0524
950,forget,retain,0.15561
951,want,choose,0.01851
952,lose,get,0.0716
953,try,think,-0.25831
954,become,appear,-0.09
955,leave,ignore,0.09345
956,accept,recommend,-0.02793
957,leave,wander,0.0605
958,keep,give,-0.19046
959,give,allow,0.02669
960,bring,send,-0.14277
961,absorb,learn,-0.18308
962,acquire,find,-0.04339
963,leave,appear,-0.05163
964,create,destroy,-0.1447
965,begin,go,0.09922
966,get,buy,0.01941
967,collect,save,-0.28327
968,replace,restore,0.15405
969,join,add,0.19105
970,join,marry,0.23533
971,accept,deliver,-0.01366
972,attach,join,-0.07178
973,put,hang,-0.11951
974,go,sell,0.38055
975,communicate,pray,0.13397
976,give,steal,0.34353
977,add,build,-0.22828
978,bring,restore,-0.06073
979,comprehend,satisfy,0.08425
980,portray,decide,-0.09858
981,organize,become,0.28978
982,give,know,-0.20293
983,say,verify,0.07389
984,cooperate,join,-0.00402
985,arrange,require,-0.17548
986,borrow,want,-0.2236
987,investigate,pursue,0.05724
988,ignore,explore,0.10018
989,bring,complain,0.37833
990,enter,owe,0.03074
991,portray,notify,0.06033
992,remind,sell,0.39524
993,absorb,possess,0.1382
994,join,acquire,0.05479
995,send,attend,0.05712
996,gather,attend,0.06688
997,absorb,withdraw,-0.01675
998,attend,arrive,-0.25754
